iter	Logloss
0	0.6917853024
1	0.6904287735
2	0.6891248525
3	0.6878519091
4	0.6865540515
5	0.6853775334
6	0.6841830342
7	0.6829972817
8	0.681902731
9	0.6807442452
10	0.6795653009
11	0.6784942474
12	0.6774898936
13	0.6764473646
14	0.6754008094
15	0.6743847193
16	0.6733491625
17	0.6723580251
18	0.671371807
19	0.670403444
20	0.6694514592
21	0.6685228555
22	0.6676597111
23	0.6667333085
24	0.6658377656
25	0.6650573212
26	0.6642411877
27	0.6633900713
28	0.6625423536
29	0.6617875953
30	0.6610315247
31	0.6602772248
32	0.6595196429
33	0.6587369208
34	0.6581017976
35	0.6573530388
36	0.6566896227
37	0.6559566193
38	0.6552756952
39	0.654635546
40	0.6539987699
41	0.6533750311
42	0.6527233656
43	0.6520830783
44	0.6516073581
45	0.6510238815
46	0.6504233282
47	0.6498513945
48	0.6492803757
49	0.6487714485
50	0.6482725096
51	0.6477502272
52	0.6472066848
53	0.6466974987
54	0.646216245
55	0.6457098846
56	0.6451989376
57	0.6447111526
58	0.6442686522
59	0.6438043934
60	0.6433512815
61	0.6429071777
62	0.6424566864
63	0.6420373052
64	0.6416310273
65	0.6411983232
66	0.6408221377
67	0.6404148891
68	0.6400102309
69	0.6395905819
70	0.6392210238
71	0.6388526564
72	0.6384847699
73	0.6380801433
74	0.6376893409
75	0.6373482021
76	0.6369892325
77	0.6366359445
78	0.6362909022
79	0.6359473896
80	0.6355723726
81	0.6352378017
82	0.6348898094
83	0.6345389951
84	0.6342263516
85	0.6338821116
86	0.6335430911
87	0.63322479
88	0.6329564368
89	0.6326610155
90	0.632352535
91	0.6320737146
92	0.6317745995
93	0.631483485
94	0.6311983862
95	0.630946616
96	0.6306662979
97	0.6304231202
98	0.6301559548
99	0.6299035336
100	0.6296553333
101	0.6294002809
102	0.6291410508
103	0.6289450237
104	0.6286862047
105	0.628421211
106	0.6282193065
107	0.6280105687
108	0.6278016695
109	0.6275739175
110	0.6273579204
111	0.6271497729
112	0.6269363687
113	0.626769331
114	0.6265748844
115	0.6263791586
116	0.626176516
117	0.6260081376
118	0.625820594
119	0.6256254459
120	0.6254300002
121	0.6252802643
122	0.6251088833
123	0.6249176487
124	0.6247461033
125	0.6245729296
