iter	Passed	Remaining
0	141	70850
1	147	36724
2	153	25347
3	157	19567
4	163	16184
5	170	14011
6	175	12372
7	181	11134
8	186	10161
9	191	9367
10	196	8730
11	201	8203
12	206	7752
13	212	7365
14	218	7054
15	223	6755
16	228	6488
17	234	6275
18	239	6063
19	245	5885
20	250	5715
21	255	5553
22	260	5406
23	267	5307
24	272	5185
25	278	5072
26	283	4973
27	288	4871
28	295	4805
29	301	4726
30	307	4645
31	312	4564
32	317	4488
33	322	4423
34	328	4370
35	334	4313
36	340	4257
37	346	4207
38	351	4154
39	356	4100
40	361	4049
41	367	4005
42	372	3960
43	378	3921
44	383	3877
45	388	3836
46	394	3804
47	399	3766
48	405	3730
49	410	3691
50	414	3651
51	420	3619
52	425	3586
53	430	3559
54	436	3528
55	441	3502
56	447	3476
57	452	3450
58	459	3431
59	465	3413
60	471	3393
61	477	3371
62	482	3345
63	487	3320
64	492	3297
65	497	3273
66	502	3249
67	508	3228
68	513	3206
69	518	3185
70	523	3163
71	529	3148
72	535	3129
73	540	3112
74	545	3092
75	551	3075
76	556	3059
77	562	3042
78	568	3028
79	573	3009
80	578	2992
81	584	2977
82	590	2965
83	595	2950
84	601	2934
85	606	2921
86	612	2906
87	617	2889
88	622	2876
89	629	2866
90	634	2850
91	639	2836
92	644	2821
93	650	2807
94	655	2795
95	661	2785
96	667	2775
97	673	2763
98	679	2750
99	684	2737
100	690	2725
101	694	2710
102	698	2694
103	703	2679
104	708	2666
105	713	2653
106	718	2639
107	723	2627
108	729	2617
109	734	2604
110	739	2591
111	744	2578
112	748	2565
113	754	2554
114	759	2543
115	764	2532
116	769	2520
117	774	2508
118	779	2495
119	784	2485
120	790	2477
121	796	2466
122	801	2455
123	805	2443
124	810	2432
125	816	2422
126	822	2414
127	827	2405
128	832	2395
129	838	2385
130	843	2375
131	848	2365
132	853	2355
133	858	2345
134	863	2335
135	868	2325
136	874	2316
137	879	2307
138	884	2297
139	889	2287
140	895	2278
141	900	2269
142	905	2259
143	909	2249
144	914	2240
145	920	2231
146	925	2222
147	930	2213
148	935	2204
149	941	2195
150	945	2185
151	951	2177
152	956	2169
153	962	2161
154	967	2152
155	972	2144
156	977	2135
157	982	2127
158	989	2121
159	994	2112
160	999	2103
161	1004	2095
162	1009	2087
163	1015	2079
164	1020	2072
165	1026	2064
166	1031	2056
167	1036	2048
168	1041	2040
169	1046	2032
170	1053	2027
171	1059	2019
172	1064	2012
173	1069	2003
174	1074	1995
175	1079	1987
176	1085	1980
177	1091	1974
178	1097	1968
179	1103	1960
180	1108	1953
181	1113	1945
182	1119	1938
183	1124	1930
184	1129	1923
185	1134	1915
186	1140	1908
187	1145	1900
188	1150	1893
189	1156	1886
190	1160	1877
191	1165	1870
192	1171	1862
193	1175	1854
194	1181	1848
195	1187	1842
196	1192	1834
197	1197	1826
198	1202	1818
199	1207	1811
200	1212	1803
201	1218	1797
202	1223	1790
203	1229	1783
204	1234	1776
205	1239	1769
206	1244	1761
207	1250	1755
208	1255	1748
209	1261	1741
210	1266	1734
211	1271	1727
212	1276	1720
213	1282	1713
214	1288	1707
215	1293	1700
216	1298	1693
217	1303	1685
218	1308	1678
219	1314	1672
220	1319	1666
221	1325	1659
222	1330	1652
223	1335	1645
224	1341	1639
225	1346	1632
226	1352	1626
227	1358	1620
228	1363	1613
229	1368	1606
230	1373	1599
231	1378	1592
232	1384	1586
233	1389	1580
234	1395	1573
235	1400	1566
236	1406	1560
237	1411	1553
238	1417	1548
239	1423	1541
240	1428	1535
241	1433	1528
242	1439	1522
243	1445	1516
244	1450	1510
245	1456	1503
246	1461	1497
247	1467	1490
248	1472	1484
249	1478	1478
250	1483	1472
251	1489	1465
252	1494	1458
253	1499	1451
254	1504	1445
255	1509	1438
256	1514	1432
257	1520	1425
258	1525	1419
259	1530	1412
260	1535	1406
261	1540	1399
262	1547	1394
263	1552	1388
264	1558	1381
265	1563	1375
266	1568	1368
267	1573	1362
268	1580	1356
269	1585	1350
270	1591	1344
271	1596	1338
272	1601	1331
273	1606	1325
274	1612	1319
275	1618	1313
276	1623	1306
277	1628	1300
278	1633	1294
279	1638	1287
280	1644	1281
281	1650	1276
282	1656	1269
283	1661	1263
284	1666	1257
285	1671	1250
286	1676	1244
287	1682	1238
288	1687	1231
289	1692	1225
290	1697	1219
291	1702	1213
292	1708	1207
293	1714	1201
294	1719	1194
295	1724	1188
296	1730	1182
297	1735	1176
298	1741	1170
299	1746	1164
300	1751	1158
301	1756	1151
302	1762	1145
303	1767	1139
304	1772	1133
305	1779	1127
306	1784	1121
307	1789	1115
308	1795	1109
309	1800	1103
310	1806	1097
311	1812	1092
312	1817	1085
313	1823	1080
314	1828	1074
315	1834	1068
316	1840	1062
317	1847	1057
318	1853	1051
319	1858	1045
320	1863	1039
321	1868	1033
322	1875	1027
323	1880	1021
324	1885	1015
325	1891	1009
326	1896	1003
327	1902	997
328	1908	992
329	1914	986
330	1919	979
331	1924	973
332	1930	967
333	1935	961
334	1942	956
335	1947	950
336	1952	944
337	1957	938
338	1962	932
339	1968	926
340	1974	920
341	1979	914
342	1984	908
343	1990	902
344	1995	896
345	2001	890
346	2006	884
347	2012	878
348	2017	872
349	2022	866
350	2028	861
351	2033	855
352	2040	849
353	2045	843
354	2051	837
355	2056	831
356	2061	825
357	2067	819
358	2072	814
359	2078	808
360	2083	802
361	2088	796
362	2093	790
363	2099	784
364	2104	778
365	2109	772
366	2114	766
367	2119	760
368	2124	754
369	2129	748
370	2136	742
371	2141	736
372	2146	730
373	2151	724
374	2157	719
375	2162	713
376	2168	707
377	2173	701
378	2179	695
379	2184	689
380	2189	683
381	2194	678
382	2200	672
383	2206	666
384	2211	660
385	2216	654
386	2222	648
387	2227	642
388	2233	637
389	2239	631
390	2245	625
391	2250	620
392	2256	614
393	2261	608
394	2267	602
395	2272	596
396	2278	591
397	2283	585
398	2288	579
399	2293	573
400	2299	567
401	2305	561
402	2310	556
403	2315	550
404	2321	544
405	2326	538
406	2333	533
407	2340	527
408	2345	521
409	2351	516
410	2357	510
411	2362	504
412	2368	498
413	2373	493
414	2379	487
415	2385	481
416	2391	475
417	2397	470
418	2403	464
419	2409	458
420	2415	453
421	2420	447
422	2426	441
423	2432	436
424	2437	430
425	2443	424
426	2449	418
427	2455	413
428	2461	407
429	2467	401
430	2473	396
431	2479	390
432	2485	384
433	2490	378
434	2496	373
435	2502	367
436	2508	361
437	2514	355
438	2519	350
439	2525	344
440	2532	338
441	2538	333
442	2545	327
443	2551	321
444	2556	316
445	2564	310
446	2570	304
447	2576	299
448	2582	293
449	2587	287
450	2594	281
451	2600	276
452	2606	270
453	2612	264
454	2618	258
455	2623	253
456	2631	247
457	2636	241
458	2642	236
459	2647	230
460	2653	224
461	2658	218
462	2664	212
463	2670	207
464	2675	201
465	2681	195
466	2687	189
467	2693	184
468	2699	178
469	2705	172
470	2711	166
471	2716	161
472	2722	155
473	2727	149
474	2733	143
475	2739	138
476	2745	132
477	2750	126
478	2756	120
479	2762	115
480	2767	109
481	2772	103
482	2777	97
483	2782	91
484	2787	86
485	2793	80
486	2797	74
487	2802	68
488	2807	63
489	2812	57
490	2817	51
491	2823	45
492	2829	40
493	2834	34
494	2839	28
495	2845	22
496	2850	17
497	2856	11
498	2862	5
499	2868	0
