best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,18,67.0,4.6821,1.8,1,,,,0,1500.0,1500.0,0.0
3,18,-67.0,-4.6821,-1.8,0,,,,0,1500.0,1500.0,-0.0
3,18,50.0,5.5215,11.1,1,,,,0,1500.0,1500.0,0.0
3,18,-50.0,-5.5215,-11.1,0,,,,0,1500.0,1500.0,-0.0
3,18,-104.0,-7.1709,-7.1,1,,,,0,1500.0,1500.0,0.0
3,18,104.0,7.1709,7.1,0,,,,0,1500.0,1500.0,-0.0
3,18,41.0,6.2246,0.4,1,,,,0,1500.0,1500.0,0.0
3,18,-41.0,-6.2246,-0.4,0,,,,0,1500.0,1500.0,-0.0
3,18,76.0,6.3801,-8.2,1,,,,0,1500.0,1500.0,0.0
3,18,-76.0,-6.3801,8.2,0,,,,0,1500.0,1500.0,-0.0
3,18,48.0,6.628,-5.8,1,,,,0,1500.0,1500.0,0.0
3,18,-48.0,-6.628,5.8,0,,,,0,1500.0,1500.0,-0.0
3,18,-161.0,-7.495,4.0,1,,,,0,1500.0,1500.0,0.0
3,18,161.0,7.495,-4.0,0,,,,0,1500.0,1500.0,-0.0
3,18,-1.0,-2.3026,-6.6,1,,,,0,1500.0,1500.0,0.0
3,18,1.0,2.3026,6.6,0,,,,0,1500.0,1500.0,-0.0
3,18,132.0,6.1399,2.8,1,,,,0,1500.0,1500.0,0.0
3,18,-132.0,-6.1399,-2.8,0,,,,0,1500.0,1500.0,-0.0
3,18,-124.0,-6.9324,-14.3,1,,,,0,1500.0,1500.0,0.0
3,18,124.0,6.9324,14.3,0,,,,0,1500.0,1500.0,-0.0
3,18,-18.0,-5.6836,-5.0,1,,,,0,1500.0,1500.0,0.0
3,18,18.0,5.6836,5.0,0,,,,0,1500.0,1500.0,-0.0
3,18,40.0,5.8377,-4.4,1,,,,0,1500.0,1500.0,0.0
3,18,-40.0,-5.8377,4.4,0,,,,0,1500.0,1500.0,-0.0
3,24,151.0,9.1376,7.9,1,,,,0,1500.0,1502.66667,-2.66667
3,24,-151.0,-9.1376,-7.9,0,,,,0,1502.66667,1500.0,2.66667
3,24,-52.0,-5.5607,-10.5,1,0.0,-0.0,-2.0,0,1502.66667,1502.66667,0.0
3,24,52.0,5.5607,10.5,0,-0.0,0.0,2.0,0,1502.66667,1502.66667,-0.0
3,24,20.0,7.8043,-4.2,1,,,,0,1500.0,1502.66667,-2.66667
3,24,-20.0,-7.8043,4.2,0,,,,0,1502.66667,1500.0,2.66667
3,24,-11.0,-5.8916,-0.7,1,3.0,-3.0,3.0,0,1502.66667,1502.66667,0.0
3,24,11.0,5.8916,0.7,0,-3.0,3.0,-3.0,0,1502.66667,1502.66667,-0.0
3,24,92.0,5.7203,-5.4,1,8.0,5.0,-1.0,0,1502.66667,1502.66667,0.0
3,24,-92.0,-5.7203,5.4,0,-8.0,-5.0,1.0,0,1502.66667,1502.66667,-0.0
3,24,61.0,8.2258,-3.0,1,,,,0,1500.0,1502.66667,-2.66667
3,24,-61.0,-8.2258,3.0,0,,,,0,1502.66667,1500.0,2.66667
