best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,18,56.0,0.0,-1.3,1,0.0,0.0,0.0,1,1000.0,1000.0,0.0
3,18,-56.0,-0.0,1.3,0,-0.0,-0.0,-0.0,-1,1000.0,1000.0,0.0
3,24,28.0,0.0,5.1,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,24,-28.0,-0.0,-5.1,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,24,95.0,0.0,0.2,1,0.0,0.0,0.0,1,1004.57143,1000.0,4.57143
3,24,-95.0,-0.0,-0.2,0,-0.0,-0.0,-0.0,-1,1000.0,1004.57143,-4.57143
3,24,-109.0,0.0,-2.4,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,24,109.0,-0.0,2.4,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,24,52.0,0.0,-3.5,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,24,-52.0,-0.0,3.5,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,24,-20.0,0.0,11.4,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,24,20.0,-0.0,-11.4,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,24,75.0,0.0,-9.9,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,24,-75.0,-0.0,9.9,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,30,57.0,0.0,-17.1,1,0.0,0.0,0.0,0,1000.0,1004.57143,-4.57143
3,30,-57.0,-0.0,17.1,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0,4.57143
3,30,16.0,0.0,1.0,1,0.0,0.0,0.0,0,1009.0493,1000.0,9.0493
3,30,-16.0,-0.0,-1.0,0,-0.0,-0.0,-0.0,0,1000.0,1009.0493,-9.0493
3,30,157.0,0.0,-3.2,1,0.0,0.0,0.0,0,1004.57143,1004.57143,0.0
3,30,-157.0,-0.0,3.2,0,-0.0,-0.0,-0.0,0,1004.57143,1004.57143,0.0
3,30,51.0,0.0,-11.4,1,0.0,0.0,0.0,0,1004.57143,1004.57143,0.0
3,30,-51.0,-0.0,11.4,0,-0.0,-0.0,-0.0,0,1004.57143,1004.57143,0.0
5,60,37.0,0.0,-10.0,1,0.0,0.0,0.0,0,1004.63157,1024.63266,-20.00109
5,60,-37.0,-0.0,10.0,0,-0.0,-0.0,-0.0,0,1024.63266,1004.63157,20.00109
5,60,-5.0,0.0,-1.5,1,0.0,0.0,0.0,1,1009.14286,1009.14286,0.0
5,60,5.0,-0.0,1.5,0,-0.0,-0.0,-0.0,-1,1009.14286,1009.14286,0.0
5,70,-16.0,0.0,3.8,1,0.0,0.0,0.0,0,1025.14286,1009.57851,15.56435
5,70,16.0,-0.0,-3.8,0,-0.0,-0.0,-0.0,0,1009.57851,1025.14286,-15.56435
3,18,158.0,0.0,9.2,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,18,-158.0,-0.0,-9.2,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,18,-13.0,0.0,2.4,1,0.0,0.0,0.0,-1,1000.0,1000.0,0.0
3,18,13.0,-0.0,-2.4,0,-0.0,-0.0,-0.0,1,1000.0,1000.0,0.0
3,18,-128.0,0.0,-1.8,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,18,128.0,-0.0,1.8,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,18,-16.0,0.0,-0.7,1,0.0,0.0,0.0,-2,1000.0,995.54761,0.0
3,18,16.0,-0.0,0.7,0,-0.0,-0.0,-0.0,2,995.54761,1000.0,0.0
3,24,126.0,0.0,8.3,1,0.0,0.0,0.0,2,1004.57143,1004.57143,0.0
3,24,-126.0,-0.0,-8.3,0,-0.0,-0.0,-0.0,-2,1004.57143,1004.57143,0.0
3,24,157.0,0.0,-0.1,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,24,-157.0,-0.0,0.1,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,24,-15.0,0.0,-5.7,1,0.0,0.0,0.0,0,1000.0,1004.57143,-4.57143
3,24,15.0,-0.0,5.7,0,-0.0,-0.0,-0.0,0,1004.57143,1000.0,4.57143
3,24,50.0,0.0,1.9,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
3,24,-50.0,-0.0,-1.9,0,-0.0,-0.0,-0.0,0,1000.0,1000.0,0.0
3,24,63.0,0.0,-1.3,1,0.0,0.0,0.0,0,1000.0,1000.0,0.0
