surface,draw_size,tourney_level,player_seed,player_hand,player_ht,player_age,opponent_seed,opponent_hand,opponent_ht,opponent_age,best_of,round,player_rank,player_rank_points,opponent_rank,opponent_rank_points
0.0,28,2,0,0.0,183.0,25.5,0,0.0,185.0,23.7,3,3,153.0,328.0,220.0,221.0
0.0,28,2,0,0.0,185.0,23.7,0,0.0,183.0,25.5,3,3,220.0,221.0,153.0,328.0
0.0,28,2,0,1.0,185.0,33.4,0,0.0,180.0,22.3,3,3,73.0,689.0,123.0,440.0
0.0,28,2,0,0.0,180.0,22.3,0,1.0,185.0,33.4,3,3,123.0,440.0,73.0,689.0
0.0,28,2,0,0.0,183.0,22.9,6,0.0,183.0,30.0,3,3,125.0,430.0,21.0,1730.0
0.0,28,2,6,0.0,183.0,30.0,0,0.0,183.0,22.9,3,3,21.0,1730.0,125.0,430.0
0.0,28,2,0,0.0,188.0,27.8,0,0.0,180.0,27.4,3,3,31.0,1195.0,72.0,691.0
0.0,28,2,0,0.0,180.0,27.4,0,0.0,188.0,27.8,3,3,72.0,691.0,31.0,1195.0
0.0,28,2,0,1.0,191.0,25.4,0,1.0,183.0,33.6,3,3,34.0,1094.0,110.0,505.0
0.0,28,2,0,1.0,183.0,33.6,0,1.0,191.0,25.4,3,3,110.0,505.0,34.0,1094.0
0.0,28,2,7,0.0,180.0,26.1,0,0.0,183.0,31.9,3,3,23.0,1455.0,71.0,700.0
0.0,28,2,0,0.0,183.0,31.9,7,0.0,180.0,26.1,3,3,71.0,700.0,23.0,1455.0
0.0,28,2,0,0.0,191.0,32.6,5,0.0,203.0,28.6,3,3,177.0,282.0,16.0,2080.0
0.0,28,2,5,0.0,203.0,28.6,0,0.0,191.0,32.6,3,3,16.0,2080.0,177.0,282.0
0.0,28,2,0,0.0,193.0,27.2,0,0.0,180.0,33.8,3,3,85.0,586.0,84.0,595.0
0.0,28,2,0,0.0,180.0,33.8,0,0.0,193.0,27.2,3,3,84.0,595.0,85.0,586.0
0.0,28,2,0,0.0,183.0,27.0,0,0.0,191.0,24.2,3,3,69.0,705.0,201.0,242.0
0.0,28,2,0,0.0,191.0,24.2,0,0.0,183.0,27.0,3,3,201.0,242.0,69.0,705.0
0.0,28,2,0,0.0,193.0,18.7,8,0.0,185.0,33.0,3,3,149.0,341.0,25.0,1365.0
0.0,28,2,8,0.0,185.0,33.0,0,0.0,193.0,18.7,3,3,25.0,1365.0,149.0,341.0
0.0,28,2,0,0.0,196.0,22.2,0,0.0,198.0,27.2,3,3,53.0,797.0,35.0,1090.0
0.0,28,2,0,0.0,198.0,27.2,0,0.0,196.0,22.2,3,3,35.0,1090.0,53.0,797.0
0.0,28,2,0,0.0,188.0,25.0,0,0.0,194.0,29.4,3,3,37.0,999.0,77.0,657.0
0.0,28,2,0,0.0,194.0,29.4,0,0.0,188.0,25.0,3,3,77.0,657.0,37.0,999.0
0.0,28,2,1,0.0,185.0,33.4,0,0.0,183.0,25.5,3,4,2.0,9625.0,153.0,328.0
0.0,28,2,0,0.0,183.0,25.5,1,0.0,185.0,33.4,3,4,153.0,328.0,2.0,9625.0
0.0,28,2,0,0.0,183.0,22.9,0,1.0,185.0,33.4,3,4,125.0,430.0,73.0,689.0
0.0,28,2,0,1.0,185.0,33.4,0,0.0,183.0,22.9,3,4,73.0,689.0,125.0,430.0
0.0,28,2,4,0.0,191.0,23.6,0,0.0,188.0,27.8,3,4,11.0,3645.0,31.0,1195.0
0.0,28,2,0,0.0,188.0,27.8,4,0.0,191.0,23.6,3,4,31.0,1195.0,11.0,3645.0
0.0,28,2,0,1.0,191.0,25.4,7,0.0,180.0,26.1,3,4,34.0,1094.0,23.0,1455.0
0.0,28,2,7,0.0,180.0,26.1,0,1.0,191.0,25.4,3,4,23.0,1455.0,34.0,1094.0
0.0,28,2,0,0.0,193.0,27.2,0,0.0,191.0,32.6,3,4,85.0,586.0,177.0,282.0
0.0,28,2,0,0.0,191.0,32.6,0,0.0,193.0,27.2,3,4,177.0,282.0,85.0,586.0
0.0,28,2,3,0.0,196.0,24.0,0,0.0,183.0,27.0,3,4,8.0,4440.0,69.0,705.0
0.0,28,2,0,0.0,183.0,27.0,3,0.0,196.0,24.0,3,4,69.0,705.0,8.0,4440.0
0.0,28,2,0,0.0,196.0,22.2,0,0.0,193.0,18.7,3,4,53.0,797.0,149.0,341.0
0.0,28,2,0,0.0,193.0,18.7,0,0.0,196.0,22.2,3,4,149.0,341.0,53.0,797.0
0.0,28,2,2,0.0,178.0,25.0,0,0.0,188.0,25.0,3,4,5.0,5025.0,37.0,999.0
0.0,28,2,0,0.0,188.0,25.0,2,0.0,178.0,25.0,3,4,37.0,999.0,5.0,5025.0
0.0,28,2,1,0.0,185.0,33.4,0,0.0,183.0,22.9,3,5,2.0,9625.0,125.0,430.0
0.0,28,2,0,0.0,183.0,22.9,1,0.0,185.0,33.4,3,5,125.0,430.0,2.0,9625.0
0.0,28,2,4,0.0,191.0,23.6,0,1.0,191.0,25.4,3,5,11.0,3645.0,34.0,1094.0
0.0,28,2,0,1.0,191.0,25.4,4,0.0,191.0,23.6,3,5,34.0,1094.0,11.0,3645.0
0.0,28,2,3,0.0,196.0,24.0,0,0.0,193.0,27.2,3,5,8.0,4440.0,85.0,586.0
0.0,28,2,0,0.0,193.0,27.2,3,0.0,196.0,24.0,3,5,85.0,586.0,8.0,4440.0
0.0,28,2,2,0.0,178.0,25.0,0,0.0,196.0,22.2,3,5,5.0,5025.0,53.0,797.0
0.0,28,2,0,0.0,196.0,22.2,2,0.0,178.0,25.0,3,5,53.0,797.0,5.0,5025.0
0.0,28,2,1,0.0,185.0,33.4,4,0.0,191.0,23.6,3,6,2.0,9625.0,11.0,3645.0
0.0,28,2,4,0.0,191.0,23.6,1,0.0,185.0,33.4,3,6,11.0,3645.0,2.0,9625.0
0.0,28,2,3,0.0,196.0,24.0,2,0.0,178.0,25.0,3,6,8.0,4440.0,5.0,5025.0
0.0,28,2,2,0.0,178.0,25.0,3,0.0,196.0,24.0,3,6,5.0,5025.0,8.0,4440.0
0.0,28,2,0,0.0,188.0,18.1,0,0.0,191.0,27.7,3,3,95.0,557.0,80.0,620.0
0.0,28,2,0,0.0,191.0,27.7,0,0.0,188.0,18.1,3,3,80.0,620.0,95.0,557.0
0.0,28,2,0,0.0,185.0,18.7,0,0.0,191.0,27.3,3,3,227.0,210.0,81.0,619.0
0.0,28,2,0,0.0,191.0,27.3,0,0.0,185.0,18.7,3,3,81.0,619.0,227.0,210.0
0.0,28,2,8,1.0,193.0,31.6,0,0.0,185.0,31.1,3,3,46.0,855.0,116.0,470.0
0.0,28,2,0,0.0,185.0,31.1,8,1.0,193.0,31.6,3,3,116.0,470.0,46.0,855.0
0.0,28,2,0,0.0,175.0,24.5,0,0.0,198.0,29.5,3,3,83.0,605.0,148.0,353.0
0.0,28,2,0,0.0,198.0,29.5,0,0.0,175.0,24.5,3,3,148.0,353.0,83.0,605.0
0.0,28,2,0,1.0,198.0,21.4,0,0.0,178.0,28.1,3,3,65.0,741.0,557.0,56.0
0.0,28,2,0,0.0,178.0,28.1,0,1.0,198.0,21.4,3,3,557.0,56.0,65.0,741.0
0.0,28,2,0,0.0,190.0,27.7,7,0.0,191.0,28.7,3,3,79.0,621.0,55.0,790.0
0.0,28,2,7,0.0,191.0,28.7,0,0.0,190.0,27.7,3,3,55.0,790.0,79.0,621.0
0.0,28,2,6,0.0,180.0,31.3,0,0.0,180.0,29.8,3,3,38.0,993.0,136.0,381.0
0.0,28,2,0,0.0,180.0,29.8,6,0.0,180.0,31.3,3,3,136.0,381.0,38.0,993.0
0.0,28,2,0,0.0,188.0,23.4,0,0.0,190.0,25.9,3,3,49.0,841.0,109.0,507.0
0.0,28,2,0,0.0,190.0,25.9,0,0.0,188.0,23.4,3,3,109.0,507.0,49.0,841.0
0.0,28,2,0,0.0,188.0,25.4,0,1.0,185.0,31.1,3,3,102.0,539.0,113.0,496.0
0.0,28,2,0,1.0,185.0,31.1,0,0.0,188.0,25.4,3,3,113.0,496.0,102.0,539.0
0.0,28,2,5,0.0,188.0,31.5,0,0.0,185.0,24.6,3,3,36.0,1020.0,129.0,421.0
0.0,28,2,0,0.0,185.0,24.6,5,0.0,188.0,31.5,3,3,129.0,421.0,36.0,1020.0
0.0,28,2,0,0.0,180.0,26.6,0,0.0,188.0,20.1,3,3,87.0,576.0,285.0,172.0
0.0,28,2,0,0.0,188.0,20.1,0,0.0,180.0,26.6,3,3,285.0,172.0,87.0,576.0
0.0,28,2,0,0.0,181.0,25.4,0,0.0,185.0,27.1,3,3,156.0,325.0,88.0,576.0
0.0,28,2,0,0.0,185.0,27.1,0,0.0,181.0,25.4,3,3,88.0,576.0,156.0,325.0
0.0,28,2,1,0.0,185.0,33.4,3,0.0,196.0,24.0,3,7,2.0,9625.0,8.0,4440.0
0.0,28,2,3,0.0,196.0,24.0,1,0.0,185.0,33.4,3,7,8.0,4440.0,2.0,9625.0
0.0,28,2,1,0.0,183.0,29.7,0,0.0,188.0,18.1,3,4,4.0,5120.0,95.0,557.0
0.0,28,2,0,0.0,188.0,18.1,1,0.0,183.0,29.7,3,4,95.0,557.0,4.0,5120.0
0.0,28,2,8,1.0,193.0,31.6,0,0.0,185.0,18.7,3,4,46.0,855.0,227.0,210.0
0.0,28,2,0,0.0,185.0,18.7,8,1.0,193.0,31.6,3,4,227.0,210.0,46.0,855.0
0.0,28,2,4,0.0,180.0,24.0,0,0.0,175.0,24.5,3,4,22.0,1599.0,83.0,605.0
0.0,28,2,0,0.0,175.0,24.5,4,0.0,180.0,24.0,3,4,83.0,605.0,22.0,1599.0
0.0,28,2,0,0.0,190.0,27.7,0,1.0,198.0,21.4,3,4,79.0,621.0,65.0,741.0
0.0,28,2,0,1.0,198.0,21.4,0,0.0,190.0,27.7,3,4,65.0,741.0,79.0,621.0
