best_of,match_importance,rank_diff,points_diff,age_diff,win_loss,ace_diff,df_diff,bp_diff,h2h_diff,player_elo_before,opponent_elo_before,surface_elo_diff
3,18,52.0,8.5901,2.4,1,,,,0,1500.0,1500.0,0.0
3,18,-52.0,-8.5901,-2.4,0,,,,0,1500.0,1500.0,-0.0
3,18,146.0,8.3622,-0.6,1,,,,0,1500.0,1500.0,0.0
3,18,-146.0,-8.3622,0.6,0,,,,0,1500.0,1500.0,-0.0
3,36,-39.0,-6.8024,2.1,1,,,,0,1500.0,1500.0,0.0
3,36,39.0,6.8024,-2.1,0,,,,0,1500.0,1500.0,-0.0
3,18,-491.0,-6.3386,-3.1,1,,,,0,1500.0,1500.0,0.0
3,18,491.0,6.3386,3.1,0,,,,0,1500.0,1500.0,-0.0
3,18,-29.0,-5.0173,-6.5,1,,,,0,1500.0,1500.0,0.0
3,18,29.0,5.0173,6.5,0,,,,0,1500.0,1500.0,-0.0
3,36,-9.0,-5.0039,10.2,1,,,,0,1500.0,1500.0,0.0
3,36,9.0,5.0039,-10.2,0,,,,0,1500.0,1500.0,-0.0
3,18,48.0,5.4072,0.9,1,,,,0,1500.0,1500.0,0.0
3,18,-48.0,-5.4072,-0.9,0,,,,0,1500.0,1500.0,-0.0
3,18,69.0,5.7777,1.2,1,,,,0,1500.0,1500.0,0.0
3,18,-69.0,-5.7777,-1.2,0,,,,0,1500.0,1500.0,-0.0
3,36,20.0,7.0388,-1.0,1,,,,0,1500.0,1500.0,0.0
3,36,-20.0,-7.0388,1.0,0,,,,0,1500.0,1500.0,-0.0
3,18,-34.0,-6.2166,-12.5,1,,,,0,1500.0,1500.0,0.0
3,18,34.0,6.2166,12.5,0,,,,0,1500.0,1500.0,-0.0
3,18,-128.0,-7.2335,0.1,1,,,,0,1500.0,1500.0,0.0
3,18,128.0,7.2335,-0.1,0,,,,0,1500.0,1500.0,-0.0
3,36,27.0,7.6686,5.7,1,,,,0,1500.0,1500.0,0.0
3,36,-27.0,-7.6686,-5.7,0,,,,0,1500.0,1500.0,-0.0
3,18,49.0,6.5751,2.7,1,,,,0,1500.0,1500.0,0.0
3,18,-49.0,-6.5751,-2.7,0,,,,0,1500.0,1500.0,-0.0
3,18,51.0,6.9354,-2.1,1,,,,0,1500.0,1500.0,0.0
3,18,-51.0,-6.9354,2.1,0,,,,0,1500.0,1500.0,-0.0
3,36,-188.0,-6.8824,-3.7,1,,,,0,1500.0,1500.0,0.0
3,36,188.0,6.8824,3.7,0,,,,0,1500.0,1500.0,-0.0
3,18,5.0,2.7081,-1.3,1,,,,0,1500.0,1500.0,0.0
3,18,-5.0,-2.7081,1.3,0,,,,0,1500.0,1500.0,-0.0
3,18,-17.0,-5.2311,5.6,1,,,,0,1500.0,1500.0,0.0
3,18,17.0,5.2311,-5.6,0,,,,0,1500.0,1500.0,-0.0
3,36,20.0,6.4135,-5.9,1,,,,0,1500.0,1500.0,0.0
3,36,-20.0,-6.4135,5.9,0,,,,0,1500.0,1500.0,-0.0
3,18,-15.0,-4.2767,-4.7,1,,,,0,1500.0,1500.0,0.0
3,18,15.0,4.2767,4.7,0,,,,0,1500.0,1500.0,-0.0
3,18,22.0,5.7589,2.6,1,,,,0,1500.0,1500.0,0.0
3,18,-22.0,-5.7589,-2.6,0,,,,0,1500.0,1500.0,-0.0
3,36,-47.0,-7.4679,-8.2,1,,,,0,1500.0,1500.0,0.0
3,36,47.0,7.4679,8.2,0,,,,0,1500.0,1500.0,-0.0
3,18,-48.0,-6.1549,-3.3,1,,,,0,1500.0,1500.0,0.0
3,18,48.0,6.1549,3.3,0,,,,0,1500.0,1500.0,-0.0
3,18,6.0,4.8675,-8.8,1,,,,0,1500.0,1500.0,0.0
3,18,-6.0,-4.8675,8.8,0,,,,0,1500.0,1500.0,-0.0
3,36,77.0,5.649,-2.6,1,,,,0,1500.0,1500.0,0.0
3,36,-77.0,-5.649,2.6,0,,,,0,1500.0,1500.0,-0.0
3,18,42.0,6.0845,0.7,1,,,,0,1500.0,1500.0,0.0
3,18,-42.0,-6.0845,-0.7,0,,,,0,1500.0,1500.0,-0.0
3,18,-58.0,-6.4216,-7.4,1,,,,0,1500.0,1500.0,0.0
3,18,58.0,6.4216,7.4,0,,,,0,1500.0,1500.0,-0.0
3,36,19.0,6.4677,-2.7,1,,,,0,1500.0,1500.0,0.0
3,36,-19.0,-6.4677,2.7,0,,,,0,1500.0,1500.0,-0.0
3,18,26.0,5.7203,-1.4,1,,,,0,1500.0,1500.0,0.0
3,18,-26.0,-5.7203,1.4,0,,,,0,1500.0,1500.0,-0.0
3,18,3.0,4.0431,6.8,1,,,,0,1500.0,1500.0,0.0
3,18,-3.0,-4.0431,-6.8,0,,,,0,1500.0,1500.0,-0.0
3,36,-13.0,-6.3986,-2.1,1,,,,0,1500.0,1500.0,0.0
3,36,13.0,6.3986,2.1,0,,,,0,1500.0,1500.0,-0.0
3,18,-51.0,-5.451,2.5,1,,,,0,1500.0,1500.0,0.0
3,18,51.0,5.451,-2.5,0,,,,0,1500.0,1500.0,-0.0
3,18,23.0,5.8435,0.0,1,,,,0,1500.0,1500.0,0.0
3,18,-23.0,-5.8435,-0.0,0,,,,0,1500.0,1500.0,-0.0
3,36,-19.0,-7.2682,-5.8,1,,,,0,1500.0,1500.0,0.0
3,36,19.0,7.2682,5.8,0,,,,0,1500.0,1500.0,-0.0
3,18,-228.0,-7.4242,1.4,1,,,,0,1500.0,1500.0,0.0
3,18,228.0,7.4242,-1.4,0,,,,0,1500.0,1500.0,-0.0
3,18,38.0,7.0783,12.9,1,,,,0,1500.0,1500.0,0.0
3,18,-38.0,-7.0783,-12.9,0,,,,0,1500.0,1500.0,-0.0
