tourney_id,tourney_name,surface,draw_size,tourney_level,tourney_date,match_num,player_id,player_seed,player_entry,player_name,player_hand,player_ht,player_ioc,player_age,player_rank,player_rank_points,opponent_id,opponent_seed,opponent_entry,opponent_name,opponent_hand,opponent_ht,opponent_ioc,opponent_age,opponent_rank,opponent_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2025-9900,United Cup,Hard,18,A,20241229,1,105807,,,Pablo Carreno Busta,R,188,ESP,33.467,196,292,207686,,,Alexander Shevchenko,R,188,KAZ,24.082,78,715,6-2 6-1,3,RR,64,3,0,40,27,21,9,8,1,2,3,4,42,24,14,4,7,2,7
2025-9900,United Cup,Hard,18,A,20241229,2,111190,,,Zhizhen Zhang,R,193,CHN,28.203,45,1155,106329,,,Thiago Monteiro,L,183,BRA,30.582,109,566,6-3 6-0,3,RR,54,10,0,39,30,26,7,8,0,0,3,2,35,22,13,3,7,1,5
2025-9900,United Cup,Hard,18,A,20241229,3,126774,,,Stefanos Tsitsipas,R,193,GRE,26.382,11,3165,105807,,,Pablo Carreno Busta,R,188,ESP,33.467,196,292,6-4 4-6 6-3,3,RR,128,13,6,84,49,40,19,15,1,3,2,3,92,70,48,9,14,6,9
2025-9900,United Cup,Hard,18,A,20241229,4,106432,,,Borna Coric,R,188,CRO,28.123,90,639,200000,,,Felix Auger-Aliassime,R,193,CAN,24.392,29,1635,0-6 6-4 6-4,3,RR,139,1,6,81,40,26,17,13,5,10,13,3,90,67,43,11,13,8,12
2025-9900,United Cup,Hard,18,A,20241229,5,200005,,,Ugo Humbert,L,188,FRA,26.511,14,2765,208502,,,Dominic Stricker,L,183,SUI,22.371,299,173,6-3 7-5,3,RR,72,10,2,51,34,30,10,11,0,1,10,1,56,34,27,10,10,1,4
2025-9900,United Cup,Hard,18,A,20241229,6,200282,,,Alex de Minaur,R,183,AUS,25.864,9,3745,144869,,,Tomas Martin Etcheverry,R,196,ARG,25.451,39,1315,6-1 6-4,3,RR,76,8,2,51,26,23,15,9,0,0,2,1,47,28,20,7,8,3,6
2025-9900,United Cup,Hard,18,A,20241229,7,200000,,,Felix Auger-Aliassime,R,193,CAN,24.392,29,1635,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,4-6 7-5 6-3,3,RR,139,19,4,89,59,47,15,16,2,4,13,1,92,58,42,16,15,1,4
2025-9900,United Cup,Hard,18,A,20241229,8,207925,,,Flavio Cobolli,R,183,ITA,22.65,32,1472,208502,,,Dominic Stricker,L,183,SUI,22.371,299,173,6-3 7-6(2),3,RR,89,5,3,67,36,27,22,10,5,5,6,0,62,45,33,7,11,0,2
2025-9900,United Cup,Hard,18,A,20241229,9,134770,,,Casper Ruud,R,183,NOR,26.021,6,4255,207830,,,Tomas Machac,R,183,CZE,24.211,25,1758,7-6(6) 5-7 6-4,3,RR,174,12,6,116,75,56,19,17,6,9,7,13,111,70,50,17,17,2,5
2025-9900,United Cup,Hard,18,A,20241229,10,100644,,,Alexander Zverev,R,198,GER,27.693,2,7915,106329,,,Thiago Monteiro,L,183,BRA,30.582,109,566,6-4 6-4,3,RR,77,11,3,51,32,29,11,10,0,0,5,1,53,32,24,11,10,2,4
2025-9900,United Cup,Hard,18,A,20241229,11,134770,,,Casper Ruud,R,183,NOR,26.021,6,4255,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,7-5 6-3,3,RR,83,4,0,61,44,34,12,11,2,2,8,0,58,40,28,8,10,4,6
2025-9900,United Cup,Hard,18,A,20241229,12,207686,,,Alexander Shevchenko,R,188,KAZ,24.082,78,715,126774,,,Stefanos Tsitsipas,R,193,GRE,26.382,11,3165,6-4 7-6(0),3,RR,112,2,3,70,45,31,19,11,1,2,7,4,77,42,30,16,11,2,4
2025-9900,United Cup,Hard,18,A,20241229,13,100644,,,Alexander Zverev,R,198,GER,27.693,2,7915,111190,,,Zhizhen Zhang,R,193,CHN,28.203,45,1155,2-6 6-0 6-2,3,RR,125,6,3,66,47,36,8,11,3,5,3,1,78,48,31,11,11,4,9
2025-9900,United Cup,Hard,18,A,20241229,14,144869,,,Tomas Martin Etcheverry,R,196,ARG,25.451,39,1315,126129,,,Billy Harris,R,193,GBR,29.927,125,474,3-6 6-3 6-2,3,RR,164,10,1,93,61,44,18,13,8,9,9,4,90,50,37,18,13,6,9
2025-9900,United Cup,Hard,18,A,20241229,15,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,106432,,,Borna Coric,R,188,CRO,28.123,90,639,6-3 6-2,3,RR,91,5,1,56,28,22,17,9,2,2,3,5,54,27,19,11,8,4,7
2025-9900,United Cup,Hard,18,A,20241229,16,207925,,,Flavio Cobolli,R,183,ITA,22.65,32,1472,200005,,,Ugo Humbert,L,188,FRA,26.511,14,2765,3-6 7-6(8) 6-2,3,RR,126,11,0,89,57,41,21,14,2,4,10,2,83,46,36,24,15,1,4
2025-9900,United Cup,Hard,18,A,20241229,17,126203,,,Taylor Fritz,R,196,USA,27.17,4,5100,111190,,,Zhizhen Zhang,R,193,CHN,28.203,45,1155,6-4 6-4,3,RR,79,8,1,44,33,30,10,10,0,0,8,0,72,48,36,9,10,7,9
2025-9900,United Cup,Hard,18,A,20241229,18,207686,,,Alexander Shevchenko,R,188,KAZ,24.082,78,715,109054,,,Daniel Masur,R,183,GER,30.146,254,217,6-7(5) 6-2 6-2,3,RR,133,11,4,84,57,42,16,14,4,5,3,2,104,72,44,15,14,8,13
2025-9900,United Cup,Hard,18,A,20241229,19,207830,,,Tomas Machac,R,183,CZE,24.211,25,1758,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,7-5 3-6 6-4,3,RR,115,8,5,83,52,43,14,15,2,3,14,3,85,55,40,21,16,3,5
2025-9900,United Cup,Hard,18,A,20241229,20,200282,,,Alex de Minaur,R,183,AUS,25.864,9,3745,126129,,,Billy Harris,R,193,GBR,29.927,125,474,6-2 6-1,3,RR,76,6,2,40,19,17,13,7,3,3,3,1,56,36,17,9,8,2,7
2025-9900,United Cup,Hard,18,A,20241229,21,128034,,,Hubert Hurkacz,R,196,POL,27.88,16,2640,126129,,,Billy Harris,R,193,GBR,29.927,125,474,7-6(3) 7-5,3,RR,105,18,0,67,51,45,9,12,3,3,7,2,79,54,42,12,12,2,3
2025-9900,United Cup,Hard,18,A,20241229,22,207830,,,Tomas Machac,R,183,CZE,24.211,25,1758,207925,,,Flavio Cobolli,R,183,ITA,22.65,32,1472,6-1 6-2,3,RR,54,9,2,43,27,23,11,8,0,0,1,4,35,19,10,6,7,0,4
